top - 15:10:23 up 27 days, 12:51,  1 user,  load average: 8.91, 8.91, 9.00
Threads: 695 total,  12 running, 683 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7.6 us,  0.7 sy,  0.0 ni, 91.4 id,  0.0 wa,  0.0 hi,  0.4 si,  0.0 st
KiB Mem : 26403688+total, 13389056+free, 46825504 used, 83320816 buff/cache
KiB Swap:  5996540 total,  5996540 free,        0 used. 21317566+avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
 12393 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  11:25.77 java
 12394 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  12:11.28 java
 12395 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  13:08.93 java
 12396 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  14:27.64 java
 12397 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  16:14.53 java
 12398 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  18:45.67 java
 12399 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  22:47.58 java
 12400 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  26:18.19 java
 12401 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  29:48.68 java
 12402 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  33:51.51 java
 12403 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  38:34.71 java
 12404 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  44:29.97 java
 12405 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  52:43.78 java
 12406 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  68:04.33 java
 12413 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   8:59.08 java
 12414 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  44:07.46 java
 12415 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  44:06.91 java
 12416 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  44:07.47 java
 12417 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  44:07.31 java
 12418 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  44:07.32 java
 12419 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  44:07.17 java
 12420 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  44:07.20 java
 12421 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  44:06.76 java
 12677 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 303:59.04 java
